CONSTITUENCY,DISTRICT,LDF,UDF,NDA,NOTA,OTHERS,EVM VOTES,POSTAL VOTES,TOTAL VOTES,LEAD,WINNER,%LDF,%UDF,%NDA,%NOTA,%POSTAL,%LEAD
Kalamassery,Ernakulam,77141,61805,11179,1518.0,4220,153259,2604,155863,15336,LDF,49.49282383,39.65341357,7.172324413,,1.670697985,9.839410251
Kochi,Ernakulam,54632,40553,10991,474.0,22053,126999,1704,128703,14079,,42.44811698,,8.539816477,0.368289783,1.323978462,10.93913895
Kothamangalam,Ernakulam,64234,57629,4638,414.0,9782,132748,3949,136697,6605,LDF,46.9900583,,3.392905477,0.302859609,2.888871007,
Kunnathunadu,Ernakulam,52351,49636,7218,565.0,45154,151540,3384,  154924,2715,LDF,33.7914074,32.03893522,4.659058635,0.364694947,2.184296817,1.75247218
Muvattupuzha,Ernakulam,58264,64425,7527,,13711,140600,3754,144354,6161,UDF,40.36188814,44.62986824,5.214264932,0.295800601,2.600551422,4.267980104
Paravur,Ernakulam,60963,82264,12964,1113.0,1290,155316,3278,  158594,21301,UDF,,51.87081478,,,,13.43115124
Perumbavoor,Ernakulam,50585,53484,15135,703.0,24264,140845,3326,144171,2899,UDF,,37.09761325,,0.487615401,2.30698268,
Piravam,Ernakulam,59692,85056,11021,1109.0,1219,153535,4562,158097,25364,UDF,37.75656717,,,,2.885570251,16.04331518
Thrikkakkara,Ernakulam,45510,59839,15483,695.0,15043,134398,2172,136570,14329,,,43.81562569,11.33704327,0.508896537,1.590393205,10.49205536
Thrippunithura,Ernakulam,64883,65875,23756,1099.0,694,155038,1269,156307,992,UDF,41.50997716,42.14462564,15.19829566,0.703103508,0.811863832,0.63464848
Vypin,Ernakulam,53858,45657,13540,525.0,17016,128169,2427,130596,8201,LDF,41.24016049,34.96048884,10.367852,0.402003124,,
Devikulam,Idukki,59049,51201,0,,4717,114083,1691,115774,7848,LDF,,,0.0,,,6.778724066
Idukki,Idukki,62368,56795,9286,677.0,2225,128481,2870,  131351,5573,LDF,47.48193771,43.23910743,7.069607388,0.515412901,2.184985268,4.242830279
Peerumedu,Idukki,60141,58306,7126,401.0,1317,125912,1379,127291,1835,LDF,47.24685956,45.80528081,5.598196259,0.3150262,1.083344463,1.441578745
Thodupuzha,Idukki,47236,67495,21263,,2139,134167,4640,138807,20259,UDF,34.02998408,48.62506934,15.31839172,0.48556629,3.342770898,
Udumbanchola,Idukki,77381,39076,7208,687.0,867,122803,2416,125219,38305,LDF,61.79653248,,5.756314936,,1.929419657,30.59040561
Dharmadam,Kannur,95522,45399,14623,400.0,4303,155212,5035,160247,50123,LDF,,,9.125287837,0.249614657,3.1420245,31.27858868
Irikkoor,Kannur,66754,76764,7825,459.0,714,147404,5112,152516,10010,UDF,43.76852265,50.33176847,,0.300952031,,6.563245823
Kalliassery,Kannur,88252,43859,11365,666.0,1443,141284,4301,145585,44393,LDF,60.61888244,,7.806436103,0.457464711,2.954287873,
Kannur,Kannur,60313,58568,11581,504.0,3123,130366,3723,134089,1745,LDF,44.97982683,43.67845237,8.636800931,0.375869758,2.776514106,1.30137446
Kuthuparamba,Kannur,70626,61085,21212,494.0,2292,151704,4005,155709,9541,LDF,45.35768645,39.23023075,,,,6.127455703
Mattannur,Kannur,96129,35166,18223,796.0,4820,150574,4560,155134,60963,LDF,61.96513981,22.66814496,11.74661905,0.5131048,2.93939433,39.29699486
Payyannur,Kannur,93695,43915,11308,686.0,341,144667,5278,149945,49780,LDF,62.48624496,,,0.457501084,3.519957318,
Peravoor,Kannur,63534,66706,9155,404.0,2339,138373,3765,142138,3172,,44.69881383,46.93044787,6.440923609,0.284230818,2.648834232,
Taliparamba,Kannur,92870,70181,13058,789.0,1214,172482,5630,178112,22689,,52.14134926,39.40273536,7.331342077,,3.160932447,
Thalassery,Kannur,81810,45009,0,2313.0,3857,129505,3484,132989,36801,LDF,,33.84415252,0.0,1.739241591,2.619765545,
Azhikode,Kannur,65794,59653,15741,517.0,3192,141433,3464,  144897,6141,LDF,45.40742734,,10.86357896,0.356805179,,4.238182985
Kanhangad,Kasargode,84615,57476,21570,637.0,2537,162510,4325,166835,27139,LDF,50.71777505,34.45080469,,,2.592381694,
Kasargode,Kasargode,28323,63296,50395,639.0,1847,143031,1469,  144500,12901,UDF,19.60069204,43.80346021,34.87543253,0.442214533,1.016608997,8.928027682
Manjeswaram,Kasargode,40639,65758,65013,,629,170301,2125,172426,745,UDF,23.56895132,38.1369399,,0.224444109,1.232412745,0.432069409
Trikkarippur,Kasargode,86151,60014,10961,558.0,2724,154533,5875,160408,26137,LDF,53.70742108,37.41334597,,0.347862949,3.662535534,16.29407511
Uduma,Kasargode,78664,65342,20360,,541,161785,3556,165341,13322,LDF,47.57682607,,12.31394512,0.262487828,2.150706721,
Chadayamangalam,Kollam,67252,53574,22238,685.0,3428,142285,4892,147177,13678,LDF,45.69463979,36.4010681,15.10969785,,3.323888923,9.293571686
Chathannur,Kollam,59296,34280,42090,642.0,1195,133823,3680,137503,17206,LDF,,24.93036516,30.61024123,0.466898904,,
Chavara,Kollam,63282,62186,14211,701.0,2500,138418,4462,142880,1096,LDF,44.29031355,,9.946108623,,3.122900336,0.767077268
Eravipuram,Kollam,71573,43452,8468,931.0,2817,124300,2941,127241,28121,LDF,56.24995088,34.14937009,6.65508759,0.731682398,2.311361904,22.10058079
Karunagapally,Kollam,65017,94225,12144,450.0,1448,168376,4908,173284,29208,UDF,37.5204866,54.37605318,7.008148473,,2.83234459,16.85556658
Kollam,Kollam,58524,56452,14252,750.0,473,127155,3296,  130451,2072,LDF,44.86282206,,,0.574928517,2.52661919,1.58833585
Kottarakkara,Kollam,68770,57956,21223,574.0,1029,145013,4539,149552,10814,LDF,45.98400556,38.75307585,14.1910506,,3.035064727,
Kundara,Kollam,71882,76405,6100,710.0,1304,152518,3883, 156401,4523,,45.96006419,48.85198944,,0.453961292,2.482720699,
Kunnathur,Kollam,69436,66646,21760,922.0,2220,155299,5685,160984,2790,,,41.39914526,13.51687124,,3.531406848,1.733091487
Pathanapuram,Kollam,67276,52940,12398,474.0,3948,133075,3961,137036,14336,LDF,49.09366882,,9.047257655,0.345894509,,
Punalur,Kollam,80428,43371,20069,688.0,1695,142770,3481,146251,37057,,,29.65518184,13.72229933,0.470424134,2.380154666,
Changanasseri,Kottayam,55425,49366,14491,434.0,3869,120562,3023,123585,6059,,,39.94497714,11.72553303,,2.446089736,4.902698548
Ettumanoor,Kottayam,58289,43986,13746,780.0,9366,122493,3674,126167,14303,,46.19987794,34.86331608,10.8950835,0.618228221,,11.33656186
Kaduthuruthy,Kottayam,55410,59666,11670,731.0,3934,127682,3729,131411,4256,,42.16541994,,8.880535115,0.556270023,2.837661992,
Kanjirapally,Kottayam,60299,46596,29157,624.0,1027,134649,3054,137703,13703,,43.78916944,,21.17383064,0.453149169,2.217816605,
Kottayam,Kottayam,46658,65401,8611,,595,119837,1901, 121738,18743,,38.32657018,53.72274885,7.07338711,,1.561550214,
Pala,Kottayam,54426,69804,10869,,2728,134122,4309,138431,15378,UDF,39.3163381,50.42512154,7.85156504,0.436318455,3.112742088,
Poonjar,Kottayam,58668,34633,2965,345.0,43283,137032,2862,139894,24035,LDF,41.93746694,24.75660143,,0.246615294,2.045834703,17.18086551
Puthupalli,Kottayam,54328,63372,11694,497.0,1906,128843,2954,131797,9044,UDF,41.22096861,48.08303679,8.872736102,0.377095078,,6.862068181
Vaikom,Kottayam,71388,42266,11953,670.0,1299,124201,3375,127576,29122,LDF,,,9.369317113,,2.645481909,22.82717753
Vadakara,Kozhikode,57602,65093,10225,353.0,3400,132822,3851,  136673,7491,UDF,,47.62681729,7.48136062,0.258280714,,
Balusseri,Kozhikode,91839,71467,16490,431.0,1727,175852,6102,  181954,20372,LDF,50.47374611,39.2775097,9.062730141,0.236873056,3.353594865,11.19623641
Beypore,Kozhikode,82165,53418,26267,621.0,2739,162216,2994,165210,28747,,49.7336723,,,0.375885237,1.812238969,17.40027843
Elathur,Kozhikode,83639,45137,32010,984.0,2580,158703,5647,164350,38502,LDF,50.89078187,27.46394889,19.4767265,0.598722239,3.435959842,23.42683298
Koduvally,Kozhikode,65992,72336,9498,,3059,146783,4371,151154,6344,UDF,43.65878508,47.85582915,6.283657727,0.177964195,,4.197044074
Kozhikode North,Kozhikode,59124,46196,30952,516.0,774,133603,3959,137562,12928,LDF,42.9798927,33.5819485,22.50039982,,2.877975022,9.3979442
Kozhikode South,Kozhikode,52557,40098,24873,603.0,923,116769,2285,119054,12459,LDF,44.1455138,33.68051472,20.89220018,0.506492852,1.919297126,10.46499908
Kunnamangalam,Kozhikode,85138,74862,27672,864.0,5286,188541,5281,193822,10276,LDF,43.92587013,,,0.44576983,2.724664899,
Kuttiady,Kozhikode,80143,79810,9139,296.0,391,164400,5379,169779,333,LDF,47.20430678,47.00816944,5.382880097,0.174344295,,0.196137331
Nadapuram,Kozhikode,83293,79258,10537,316.0,2099,170374,5129,175503,4035,LDF,,45.16048159,6.003885973,0.180053902,2.922457166,2.299105998
Perambra,Kozhikode,86023,63431,11165,458.0,2660,158120,5617,163737,22592,LDF,52.53730067,38.73956406,,,3.430501353,
Quilandy,Kozhikode,75628,67156,17555,,1253,158155,3929,162084,8472,,,41.43283729,10.83080378,0.303546309,2.424051726,5.226919375
Thiruvambadi,Kozhikode,67867,63224,7794,419.0,3705,139133,3876,143009,4643,LDF,47.45645379,44.20980498,5.450006643,0.292988553,2.710318931,3.246648812
Eranadu,Malappuram,55530,78076,6683,636.0,2347,139609,3663, 143272,22546,UDF,38.75844547,,4.664554135,0.443910883,,
Kondotty,Malappuram,65093,82759,11114,554.0,4625,161251,2894,164145,17666,UDF,39.65579214,50.41822779,6.770842852,,1.76307533,10.76243565
Kottakkal,Malappuram,65112,81700,10796,668.0,1657,156638,3295,159933,16588,UDF,40.71204817,51.08389138,6.750326699,0.417674901,2.060237725,10.37184321
Malappuram,Malappuram,57958,93166,5883,994.0,3824,158740,3085,161825,35208,UDF,,57.57206859,3.63540862,0.614243782,,21.75683609
Manjeri,Malappuram,64263,78836,11350,1202.0,1341,153812,3180,156992,14573,UDF,40.93393294,50.21657155,,,,9.282638606
Mankada,Malappuram,76985,83231,6641,,812,164441,3827,168268,6246,UDF,45.75142035,,3.946680296,0.355979747,2.274348064,
Nilambur,Malappuram,81227,78527,8595,507.0,4349,169461,3744,  173205,2700,,46.89645218,45.33760573,4.962327877,0.292716723,,1.558846454
Perinthalmanna,Malappuram,76492,76530,8021,867.0,3706,162706,2910,165616,38,,,46.20930345,4.843131098,0.523500145,,0.022944643
Ponnani,Malappuram,74668,57625,7419,467.0,5243,142941,2481,145422,17043,LDF,51.34573861,39.62605383,5.101704006,,,11.71968478
Tanur,Malappuram,70704,69719,10590,336.0,1221,150345,2225,152570,985,LDF,,45.69640165,6.941076227,,,
Thavanur,Malappuram,70358,67794,9914,478.0,2882,148763,2663,  151426,2564,LDF,46.46361919,44.77038289,,0.315665738,1.758614769,1.6932363
Tirur,Malappuram,75100,82314,9097,417.0,3814,167979,2763,170742,7214,UDF,43.98449122,,,0.244228134,,4.225088145
Tirurangadi,Malappuram,63921,73499,8314,,1316,145878,1893,147771,9578,UDF,43.25679599,,5.626273085,,1.281036198,6.481650662
Vallikkunnu,Malappuram,57707,71823,19853,1150.0,881,148033,3381,151414,14116,UDF,,47.4348475,,,,
Vengara,Malappuram,39785,70381,5968,,14630,129511,2040,131551,30596,,,,4.536643583,0.598247068,1.550729375,23.25789998
Wandoor,Malappuram,71852,87415,7057,,2943,166756,3175,  169931,15563,,,,4.152862044,0.390746833,1.868405412,9.158423125
Alathur,Palakkad,74653,40535,18349,783.0,1046,132616,2750,135366,34118,LDF,55.14900344,29.9447424,13.55510246,0.578431807,2.031529335,25.20426104
Chittur,Palakkad,84672,50794,14458,1285.0,1696,149745,3160,152905,33878,LDF,55.37555999,,9.455544292,,,
Kongad,Palakkad,67881,40662,27661,953.0,1351,136205,2303,138508,27219,LDF,49.00872152,29.35714905,19.97068761,0.6880469,1.662719843,19.65157247
Malambuzha,Palakkad,75934,35444,50200,1054.0,973,160011,3594,163605,25734,LDF,46.41300694,,30.68365881,0.644234589,2.196754378,15.72934813
Mannarkkadu,Palakkad,65787,71657,10376,,3522,149538,2564,152102,5870,UDF,43.25189675,47.1111491,6.821738044,0.499664699,1.685710905,3.859252344
Nenmara,Palakkad,80145,51441,16666,1070.0,2213,147958,3577, 151535,28704,LDF,52.88877157,,,,2.360510773,
Ottappalam,Palakkad,74859,59707,25056,867.0,672,157398,3763,161161,15152,LDF,46.44982347,37.04804512,,0.537971345,,
Palakkad,Palakkad,36433,54079,50220,528.0,844,139192,2912,142104,3859,UDF,,,35.34031414,0.371558858,2.0492034,2.715616731
Pattambi,Palakkad,75311,57337,14578,,4293,149076,2833,151909,17974,,49.57639113,37.74430745,9.596534768,0.256732649,1.864932295,11.83208368
Shornur,Palakkad,74400,37726,36973,678.0,2134,148683,3228,151911,36674,LDF,,24.83427797,24.33859299,0.44631396,2.124928412,
Tarur,Palakkad,67744,43213,18465,940.0,985,128952,2395,131347,24531,LDF,51.57635881,32.8998759,14.05818176,,,18.6764829
Thritthala,Palakkad,69814,66798,12851,427.0,2421,149547,2764, 152311,3016,LDF,45.83647931,,,0.280347447,1.814708064,
Adoor,Pathanamthitta,66569,63650,23980,594.0,618,149921,5490,155411,2919,LDF,42.83416232,,15.43005321,0.382212327,3.53256848,1.878245427
Aranmula,Pathanamthitta,74950,55947,29099,575.0,1295,155370,6496,161866,19003,LDF,46.30373272,34.56377497,17.97721572,0.355232106,4.0131961,11.73995774
Konni,Pathanamthitta,62318,53810,32811,372.0,411,144793,4929,149722,8508,LDF,,35.93994203,,,,
Ranni,Pathanamthitta,52669,51384,19587,431.0,3706,123598,4179, 127777,1285,LDF,41.21946829,40.21381,15.32904983,0.337306401,3.270541647,1.005658295
Thiruvalla,Pathanamthitta,62178,50757,22674,608.0,3327,134466,5078,139544,11421,LDF,44.55798888,36.3734736,16.24863842,0.435704867,3.638995586,8.184515278
Aruvikkara,Thiruvananthapuram,66776,61730,15379,,923,141521,4187,145708,5046,,45.82864359,42.36555302,,0.617673704,2.87355533,3.463090565
Attingal,Thiruvananthapuram,69898,36938,38262,1071.0,1457,142566,5060,147626,31636,LDF,47.34802813,,25.91819869,0.725481961,3.427580507,21.42982943
Chirayattinkeezhu,Thiruvananthapuram,62634,48617,30986,758.0,2085,141273,3807,145080,14017,LDF,,,21.35787152,,,9.661566033
Kattakkada,Thiruvananthapuram,66293,43062,34542,699.0,1023,141328,4291, 145619,23231,LDF,45.52496584,29.57169051,23.72080566,,2.946730852,15.95327533
Kazhakkoottam,Thiruvananthapuram,63690,32995,40193,668.0,779,135293,3032,138325,30695,LDF,46.04373757,23.85324417,29.05693114,0.482920658,2.191939273,
Kovalam,Thiruvananthapuram,63306,74868,18664,773.0,1489,154729,4371,159100,11562,UDF,39.79006914,47.05719673,,,2.747328724,7.267127593
Nedumangad,Thiruvananthapuram,72742,49433,26861,917.0,3049,148255,4747,153002,23309,LDF,47.54316937,32.30872799,17.55597966,0.599338571,,15.23444138
Nemom,Thiruvananthapuram,55837,36524,51888,756.0,1012,142582,3435,146017,3949,LDF,38.24006794,,35.53558832,,2.352465809,2.704479615
Neyyattinkara,Thiruvananthapuram,65497,51235,21009,907.0,643,134789,4502,139291,14262,LDF,,,15.08281224,,3.232082475,10.23899606
Parassala,Thiruvananthapuram,78548,52720,29850,630.0,1342,158727,4363,163090,25828,,48.16236434,32.32570973,,,,
Thiruvananthapuram,Thiruvananthapuram,48748,41659,34996,1054.0,1779,125900,2336,128236,7089,,38.01428616,32.48619732,27.29030849,0.821922081,1.821641349,
Vamanapuram,Thiruvananthapuram,73137,62895,5603,716.0,4174,141815,4710,146525,10242,LDF,49.91434909,42.92441563,3.823920833,0.488653813,,
Varkala,Thiruvananthapuram,68816,50995,11214,,3389,131784,3445,135229,17821,LDF,50.88849285,37.71010656,8.29259996,,,
Vattiyoorkkavu,Thiruvananthapuram,61111,35455,39596,854.0,620,133500,4136, 137636,21515,LDF,44.40044756,25.75997559,28.76863611,0.620477201,,15.63181144
Chalakkudi,Thrissur,60831,61888,17301,1000.0,2134,140012,3142,143154,1057,,,,,0.698548416,,0.738365676
Chelakkara,Thrissur,83415,44015,24045,,1120,150570,2745, 153315,39400,LDF,,,15.68339693,,1.790431465,25.69872485
Guruvayoor,Thrissur,77072,58804,6294,1007.0,3582,144729,2030,146759,18268,LDF,52.51602968,40.06841148,4.288663728,0.686158941,1.383220109,12.4476182
Irinjalakkuda,Thrissur,62493,56544,34329,590.0,1223,151104,4075,155179,5949,LDF,40.27155736,36.43792008,22.12219437,,2.625999652,
Kaipamangalam,Thrissur,73161,50463,9066,466.0,2927,133413,2670,136083,22698,LDF,,37.08251582,,0.342438071,1.962037874,16.67952647
Kodungallur,Thrissur,71457,47564,28204,870.0,807,144695,4207,148902,23893,LDF,47.98928154,31.94315724,18.94131711,0.584276907,,
Kunnamkulam,Thrissur,75532,48901,27833,559.0,2006,151452,3379,154831,26631,LDF,48.78351235,31.58346843,17.97637424,0.36103881,2.182379498,
Manalur,Thrissur,78337,48461,36566,712.0,3426,162972,4530,167502,29876,LDF,46.76779979,28.93159485,21.8301871,0.425069551,2.70444532,
Nattika,Thrissur,72930,44499,33716,,1579,150227,3327,153554,28431,LDF,47.49469242,28.97938185,,,,
Ollur,Thrissur,76657,55151,22295,827.0,1241,153563,2608, 156171,21506,,49.08529753,,,,,
Puthukkad,Thrissur,73365,46012,34893,1069.0,944,151948,4335,156283,27353,LDF,46.94368549,29.44146196,22.32680458,0.684015536,2.77381417,
Thrissur,Thrissur,44263,43317,40457,723.0,477,125832,3405,129237,946,,,33.51749112,31.30450258,,,
Wadakkancheri,Thrissur,81026,65858,21747,842.0,388,165920,3941,  169861,15168,,47.70135581,,12.80282113,0.495699425,2.320132344,
Kalpetta,Wayanad,64782,70252,14113,828.0,2234,149111,3098,152209,5470,,42.56121517,46.15495799,9.272119257,0.543988857,,
Mananthavadi,Wayanad,72536,63254,13142,797.0,2852,149053,3528,152581,9282,LDF,,,,,,
Sulthan Battheri,Wayanad,69255,81077,15198,1160.0,742,163574,3858,  167432,11822,,41.36306082,,9.077117875,0.692818577,,7.060776912
